,Group name,Trophic level,Hab area (proportion),Biomass in habitat area (t/km²),Biomass (t/km²),Total mortality (/year),Production / biomass (/year),Consumption / biomass (/year),Ecotrophic Efficiency,Production / consumption (/year),Biomass accumulation (t/km²),BA rate (/year)
1,Harbour porpoise,4.389572,1,0.033385,0.033385,,0.02,24.6375,0,0.000811771,,
2,Seals,4.61697,1,0.008,0.008,,0.09,26.842,0,0.003352955,,
3,Seabirds (discard),3.020631,1,0.0003555,0.0003555,,0.102,60.51533,0.1712584,0.001685523,,
4,Seabirds (non-discard),3.724783,1,0.00162,0.00162,,1.119,48.20189,0.01844129,0.02321485,,
5,Sharks,4.47996,1,0.0317731,0.0317731,,0.5415655,3.372923,0.6718429,0.1605626,,
6,Rays,4.042918,1,0.153,0.153,,0.300932,2.894687,0.6515968,0.1039601,,
,Cod,,,,,,,,,,,
7,Juvenile Cod,4.16155,1,0.1715507,0.1715507,2.1,,8.286427,0.8104722,0.2534265,,
8,Cod (adult),4.507788,1,0.2248537,0.2248537,1.135,,3.198156,0.666871,0.354892,,
,Whiting,,,,,,,,,,,
9,Juvenile Whiting,3.999465,1,0.9398575,0.9398575,2.799,,13.4059,0.5717067,0.2087886,,
10,Whiting (adult),4.087463,1,0.35,0.35,1.308604,,5.408688,0.9436364,0.2419448,,
11,Other gadoids,3.525837,1,0.65,0.65,,0.95,5.227444,0.709308,0.1817332,,
12,Demersal fish,4.081249,1,1.6,1.6,,1.56,4.941642,0.993949,0.3156845,,
,Herring,,,,,,,,,,,
13,Juvenile Herring,3.323974,1,0.2163116,0.2163116,3.54,,19.06351,0.2935057,0.1856951,,
14,Herring (adult),3.351549,1,0.756,0.756,1.2,,6.776799,0.3331553,0.1770748,,
15,Sprat,2.888889,1,0.63,0.63,,2.7,9.014047,0.9542403,0.2995325,,
16,Mackerel,3.675886,1,0.922497,0.922497,,1.338136,4.812591,0.4324118,0.2780489,,
17,Horse mackerel,4.291721,1,1.525,1.525,,0.9,4.959528,0.9964642,0.1814689,,
18,Sandeels,3.151402,1,4.385746,4.385746,,2,9.585865,0.8171691,0.2086405,,
,Plaice,,,,,,,,,,,
19,Juvenile Plaice,3.504342,1,0.511077,0.511077,2.3,,10.44404,0.2214464,0.2202212,,
20,Plaice (adult),3.564739,1,0.85,0.85,0.8927829,,3.634584,0.8275909,0.2456355,,
21,Dab,3.568334,1,9.634548,9.634548,,0.6,5.583817,0.1841498,0.1074534,,
22,Other flatfish,3.833638,1,0.4,0.4,,1.1,6.902024,0.9924706,0.1593735,,
,Sole,,,,,,,,,,,
23,Juvenile Sole,3.317985,1,0.1940518,0.1940518,1.1,,10.46331,0.1831004,0.1051292,,
24,Sole (adult),3.50135,1,0.316557,0.316557,1.153873,,5.556577,0.7558447,0.2076589,,
25,Sea Bass,4.270327,1,0.025,0.025,,0.565,3.809,0.5480392,0.1483329,,
26,Pelagic fish,3.351058,1,0.1088449,0.1088449,,4,10.19,0.9799999,0.3925417,,
27,Squid & cuttlefish,3.551803,1,0.7,0.7,,4.5,20,0.7097744,0.225,,
28,Carnivorous zooplankton,3.110224,1,4.832232,4.832232,,4,12.5,0.9900001,0.32,,
29,Temora longicornis,2,1,5.5,5.5,,9.2,30,0.9816097,0.3066667,,
30,Herbivorous plankton (copepods),2,1,11.5,11.5,,9.2,30,0.4694655,0.3066667,,
31,Gelatinous zooplankton,3.445583,1,0.25,0.25,,2.858,6.351111,0.9137405,0.45,,
32,Large crabs + shrimps ,3.59445,1,5.6,5.6,,1.2,5.999094,0.6893592,0.2000302,,
33,Blue mussels (reefs),2.01,1,1.00E-06,1.00E-06,,0.36,2.67,0.01120622,0.1348315,,
34,Blue mussels (aquaculture),2.01,1,1.00E-06,1.00E-06,,0.36,2.67,0.000827839,0.1348315,,
35,Epifaunal macrobenthos (mobile grazers),3.017244,1,78,78,,0.6,3,0.9681142,0.2,,
36,Infaunal macrobenthos,2.41576,1,136,136,,1,3.333333,0.702886,0.3,,
37,Crangon,3.119155,1,1.3,1.3,,6,18,0.2466031,0.3333333,,
38,Small mobile epifauna (swarming crustaceans),2.395944,1,30,30,,3.65,10.42857,0.8488814,0.35,,
39,Small infauna (polychaetes),2.433333,1,150,150,,1.8,6,0.9981043,0.3,,
40,Sessile epifauna,2,1,105,105,,0.26,1.3,0.12142,0.2,,
41,Meiofauna,2.111111,1,17.264,17.264,,35,125,0.9900001,0.28,,
42,Phytoplankton,1,1,7.5,7.5,,286.7,,0.2535334,,,
43,Detritus,1,1,50,50,,,,0.9632934,,,
44,Discards,1,1,50,50,,,,0.9178261,,,
