,Group name,Hab area (proportion),Biomass in habitat area (t/km²),Total mortality (/year),Production / biomass (/year),Consumption / biomass (/year),Ecotrophic Efficiency,Other mortality,Production / consumption,Unassim. consumption,Detritus import (t/km²/year)
1,Harbour porpoise,1,0.033385,,0.02,24.6375,,,,0.2,
2,Seals,1,0.008,,0.09,26.842,,,,0.2,
3,Seabirds (discard),1,0.0003555,,0.102,60.51533,,,,0.2,
4,Seabirds (non-discard),1,0.00162,,1.119,48.20189,,,,0.2,
5,Sharks,1,0.0317731,,0.5415655,3.372923,,,,0.2,
6,Rays,1,0.153,,0.300932,2.894687,,,,0.2,
,Cod,,,,,,,,,,
7,Juvenile Cod,1,0.1715507,2.1,,8.286427,,,,0.2,
8,Cod (adult),1,0.2248537,1.135,,3.198156,,,,0.2,
,Whiting,,,,,,,,,,
9,Juvenile Whiting,1,0.9398575,2.799,,13.4059,,,,0.2,
10,Whiting (adult),1,0.35,1.308604,,5.408688,,,,0.2,
11,Other gadoids,1,0.65,,0.95,5.227444,,,,0.2,
12,Demersal fish,1,1.6,,1.56,4.941642,,,,0.2,
,Herring,,,,,,,,,,
13,Juvenile Herring,1,0.2163116,3.54,,19.06351,,,,0.2,
14,Herring (adult),1,0.756,1.2,,6.776799,,,,0.2,
15,Sprat,1,0.63,,2.7,9.014047,,,,0.2,
16,Mackerel,1,0.922497,,1.338136,4.812591,,,,0.2,
17,Horse mackerel,1,1.525,,0.9,4.959528,,,,0.2,
18,Sandeels,1,4.385746,,2,9.585865,,,,0.2,
,Plaice,,,,,,,,,,
19,Juvenile Plaice,1,0.511077,2.3,,10.44404,,,,0.2,
20,Plaice (adult),1,0.85,0.8927829,,3.634584,,,,0.2,
21,Dab,1,9.634548,,0.6,5.583817,,,,0.2,
22,Other flatfish,1,0.4,,1.1,6.902024,,,,0.2,
,Sole,,,,,,,,,,
23,Juvenile Sole,1,0.1940518,1.1,,10.46331,,,,0.2,
24,Sole (adult),1,0.316557,1.153873,,5.556577,,,,0.2,
25,Sea Bass,1,0.025,,0.565,3.809,,,,0.2,
26,Pelagic fish,1,,,4,10.19,0.98,,,0.2,
27,Squid & cuttlefish,1,0.7,,4.5,20,,,,0.2,
28,Carnivorous zooplankton,1,,,4,,0.9900001,,0.32,0.2,
29,Temora longicornis,1,5.5,,9.2,30,,,,0.4,
30,Herbivorous plankton (copepods),1,11.5,,9.2,30,,,,0.4,
31,Gelatinous zooplankton,1,0.25,,2.858,,,,0.45,0.2,
32,Large crabs + shrimps ,1,5.6,,1.2,,,,0.2000302,0.2,
33,Blue mussels (reefs),1,1.00E-06,,0.36,2.67,,,,0.2,
34,Blue mussels (aquaculture),1,1.00E-06,,0.36,2.67,,,,0.2,
35,Epifaunal macrobenthos (mobile grazers),1,78,,0.6,,,,0.2,0.2,
36,Infaunal macrobenthos,1,136,,1,,,,0.3,0.2,
37,Crangon,1,1.3,,6,18,,,,0.2,
38,Small mobile epifauna (swarming crustaceans),1,30,,3.65,,,,0.35,0.2,
39,Small infauna (polychaetes),1,150,,1.8,,,,0.3,0.2,
40,Sessile epifauna,1,105,,0.26,,,,0.2,0.4,
41,Meiofauna,1,,,35,125,0.9900001,,,0.4,
42,Phytoplankton,1,7.5,,286.7,,,,,,
43,Detritus,1,50,,,,,,,,0
44,Discards,1,50,,,,,,,,0
