year,TRP_raw,TRP_rel_1,TRP_rel_2,TRP_rel_3,TRP_rel_4
1990,1.027,1.075667518,1.015133504,1.030267007,1.045400511
1991,0.955,1,1,1,1
1992,1.422,1.489614232,1.097922846,1.195845693,1.293768539
1993,1.66,1.738872319,1.147774464,1.295548928,1.443323391
1994,1.439,1.507418284,1.101483657,1.202967314,1.304450971
1995,1.469,1.538575588,1.107715118,1.215430235,1.323145353
1996,0.98,1.026705823,1.005341165,1.010682329,1.016023494
1997,0.712,0.746290773,0.949258155,0.898516309,0.847774464
1998,1.431,1.498516173,1.099703235,1.199406469,1.299109704
1999,1.826,1.912462802,1.18249256,1.364985121,1.547477681
2000,1.894,1.983679435,1.196735887,1.393471774,1.590207661
2001,1.49,1.56083078,1.112166156,1.224332312,1.336498468
2002,0.976,1.022255192,1.004451038,1.008902077,1.013353115
2003,0.751,0.786350017,0.957270003,0.914540007,0.87181001
2004,0.717,0.750741744,0.950148349,0.900296697,0.850445046
2005,0.436,0.456973272,0.891394654,0.782789309,0.674183963
2006,0.432,0.452522302,0.89050446,0.781008921,0.671513381
2007,0.649,0.679525196,0.935905039,0.871810078,0.807715118
2008,0.373,0.390207695,0.878041539,0.756083078,0.634124617
2009,0.326,0.34124634,0.868249268,0.736498536,0.604747804
2010,0.432,0.452522302,0.89050446,0.781008921,0.671513381
2011,0.215,0.225519068,0.845103814,0.690207627,0.535311441
2012,0.653,0.683976166,0.936795233,0.873590467,0.8103857
2013,0.555,0.581601976,0.916320395,0.83264079,0.748961186
2014,0.746,0.781898707,0.956379741,0.912759483,0.869139224
2015,0.309,0.323442118,0.864688424,0.729376847,0.594065271
2016,0.377,0.394658666,0.878931733,0.757863466,0.636795199
2017,0.181,0.189910964,0.837982193,0.675964385,0.513946578
2018,0.334,0.350148281,0.870029656,0.740059312,0.610088968
2019,0.33,0.34569731,0.869139462,0.738278924,0.607418386
